ra,dec,id,name,mag,bv
262.690833,-37.295833,6508, 34Ups Sco,2.69,-0.22
262.960417,-49.876111,6510,   Alp Ara,2.95,-0.17
263.402083,-37.103889,6527, 35Lam Sco,1.63,-0.22
262.608333,52.301389,6536, 23Bet Dra,2.79,0.98
264.33,-42.997778,6553,   The Sco,1.87,0.4
263.73375,12.56,6556, 55Alp Oph,2.08,0.15
265.622083,-39.03,6580,   Kap Sco,2.41,-0.22
265.868333,4.567222,6603, 60Bet Oph,2.77,1.16
269.151667,51.488889,6705, 33Gam Dra,2.23,1.52
271.452083,-30.424167,6746, 10Gam2Sgr,2.99,1.0
275.24875,-29.828056,6859, 19Del Sgr,2.7,1.38
276.042917,-34.384722,6879, 20Eps Sgr,1.85,-0.03
276.9925,-25.421667,6913, 22Lam Sgr,2.81,1.04
279.234583,38.783611,7001,  3Alp Lyr,0.03,0.0
283.81625,-26.296667,7121, 34Sig Sgr,2.02,-0.22
285.652917,-29.880278,7194, 38Zet Sgr,2.6,0.08
286.3525,13.863333,7235, 17Zet Aql,2.99,0.01
287.440833,-21.023611,7264, 41Pi  Sgr,2.89,0.35
296.565,10.613333,7525, 50Gam Aql,2.72,1.52
296.24375,45.130833,7528, 18Del Cyg,2.87,-0.03
297.695833,8.868333,7557, 53Alp Aql,0.77,0.22
306.412083,-56.735,7790,   Alp Pav,1.94,-0.2
305.557083,40.256667,7796, 37Gam Cyg,2.2,0.68
310.357917,45.280278,7924, 50Alp Cyg,1.25,0.09
311.552917,33.970278,7949, 53Eps Cyg,2.46,1.03
319.645,62.585556,8162,  5Alp Cep,2.44,0.22
322.889583,-5.571111,8232, 22Bet Aqr,2.91,0.83
326.046667,9.875,8308,  8Eps Peg,2.39,1.53
326.76,-16.127222,8322, 49Del Cap,2.87,0.29
331.445833,-0.319722,8414, 34Alp Aqr,2.96,0.98
332.058333,-46.961111,8425,   Alp Gru,1.74,-0.13
334.625417,-60.259722,8502,   Alp Tuc,2.86,1.39
340.667083,-46.884722,8636,   Bet Gru,2.1,1.6
340.750417,30.221389,8650, 44Eta Peg,2.94,0.86
344.412917,-29.622222,8728, 24Alp PsA,1.16,0.09
345.94375,28.082778,8775, 53Bet Peg,2.42,1.67
346.190417,15.205278,8781, 54Alp Peg,2.49,-0.04
