ra,dec,id,name,mag,bv
15.735833,7.89, 294, 71Eps Psc,4.28,0.96
15.760833,-4.836667, 296, 25    Cet,5.43,1.11
16.081667,61.580278, 297,HR 297,5.84,0.54
16.01,52.502222, 298,HR 298,5.99,1.47
15.705,-46.3975, 299,HR 299,5.36,0.9
16.219167,5.656389, 307, 73    Psc,6.0,1.51
16.2725,14.946111, 308, 72    Psc,5.68,0.41
16.420417,21.473333, 310, 74Psi1Psc,5.34,-0.03
16.42375,21.465278, 311, 74Psi1Psc,5.56,-0.07
16.52125,-9.839444, 317, 28    Cet,5.58,0.01
17.068333,54.920278, 321, 30Mu  Cas,5.17,0.69
16.520833,-46.718611, 322,   Bet Phe,3.31,0.89
17.00375,43.941944, 324, 41    And,5.03,0.11
17.13875,58.263611, 326,HR 326,5.79,-0.01
16.988333,20.739167, 328, 79Psi2Psc,5.55,0.13
16.9425,-9.785556, 329, 30    Cet,5.82,0.43
17.0925,5.649722, 330, 80    Psc,5.52,0.34
16.949583,-41.486944, 331,   Ups Phe,5.21,0.16
16.827917,-61.775278, 332,   Iot Tuc,5.37,0.88
18.069583,79.673889, 333,HR 333,5.64,0.01
17.1475,-10.182222, 334, 31Eta Cet,3.45,1.16
17.375833,47.241944, 335, 42Phi And,4.25,-0.07
17.66375,68.778611, 336, 31    Cas,5.29,-0.02
17.432917,35.620556, 337, 43Bet And,2.06,1.58
17.09625,-55.245833, 338,   Zet Phe,3.92,-0.08
17.455,19.658611, 339, 81Psi3Psc,5.55,0.69
17.578333,42.081389, 340, 44    And,5.65,0.6
17.580833,25.457778, 341,HR 341,5.8,1.47
17.856667,64.202778, 342,HR 342,5.55,-0.07
17.775833,55.149722, 343, 33The Cas,4.33,0.17
17.9225,65.018889, 345, 32    Cas,5.57,-0.09
17.64,2.445556, 347, 33    Cet,5.95,1.51
17.792917,37.724167, 348, 45    And,5.81,-0.1
17.778333,31.424722, 349, 82    Psc,5.16,0.23
17.863333,21.034722, 351, 84Chi Psc,4.66,1.03
17.915,30.089722, 352, 83Tau Psc,4.51,1.09
17.93125,-2.251111, 353, 34    Cet,5.94,1.4
18.189167,-37.856389, 359,HR 359,5.92,0.28
18.437083,24.583611, 360, 85Phi Psc,4.65,1.04
18.432917,7.575278, 361, 86Zet Psc,5.24,0.32
18.531667,16.133611, 364, 87    Psc,5.98,-0.08
18.6,-7.923056, 366, 37    Cet,5.13,0.46
18.705,-0.973889, 368, 38    Cet,5.7,0.42
18.79625,-45.531389, 370,   Nu  Phe,4.96,0.58
19.15125,-2.500278, 373, 39    Cet,5.41,0.9
18.942083,-68.876111, 377,   Kap Tuc,4.86,0.47
19.45,3.614444, 378, 89    Psc,5.16,0.07
20.020417,58.231667, 382, 34Phi Cas,4.98,0.68
19.866667,27.264167, 383, 90Ups Psc,4.76,0.03
19.95125,-0.508889, 385, 42    Cet,5.87,0.64
20.280833,28.738056, 389, 91    Psc,5.23,1.39
20.585,45.528889, 390, 46Xi  And,4.88,1.08
20.919167,37.715, 395, 47    And,5.58,0.26
20.85375,20.468889, 397,HR 397,5.97,1.71
21.483333,68.13, 399, 36Psi Cas,4.74,1.05
20.879167,-30.945556, 400,HR 400,5.84,1.61
21.005833,-8.183333, 402, 45The Cet,3.6,1.06
21.454167,60.235278, 403, 37Del Cas,2.68,0.13
21.085833,-6.914722, 404,HR 404,5.91,0.41
21.17,-41.4925, 408,HR 408,5.42,1.04
21.5775,43.457778, 409,HR 409,5.96,0.49
21.405,-14.598889, 412, 46    Cet,4.9,1.23
21.56375,19.172222, 413, 93Rho Psc,5.38,0.39
21.67375,19.240278, 414, 94    Psc,5.5,1.11
21.914167,45.406667, 417, 48Ome And,4.83,0.42
21.272083,-64.369444, 420,HR 420,5.93,1.56
21.715,-13.056667, 421, 47    Cet,5.66,0.35
21.742083,-32.543056, 423,HR 423,5.79,3.86
37.952917,89.264167, 424,  1Alp UMi,2.02,0.6
22.8075,70.264722, 427, 38    Cas,5.81,0.47
22.09125,-43.318333, 429,   Gam Phe,3.41,1.57
22.525833,47.007222, 430, 49    And,5.27,1.0
22.400417,-21.629444, 433, 48    Cet,5.12,0.02
22.54625,6.143889, 434, 98Mu  Psc,4.84,1.37
22.595417,-26.207778, 436,HR 436,5.93,1.34
22.870833,15.345833, 437, 99Eta Psc,3.62,0.97
23.3575,58.3275, 439,HR 439,5.7,1.52
22.812917,-49.072778, 440,   Del Phe,3.95,0.99
22.930417,-30.283333, 441,HR 441,5.82,1.08
23.482917,59.231944, 442, 39Chi Cas,4.71,1.0
23.233333,-36.865278, 445,HR 445,5.51,1.02
23.569167,37.237222, 446,HR 446,5.88,-0.07
23.42875,-7.025278, 448,HR 448,5.76,0.64
23.704583,18.460556, 450,HR 450,5.89,1.52
23.6575,-15.676111, 451, 49    Cet,5.63,0.07
24.113333,48.722778, 454,HR 454,5.92,1.21
24.62875,73.04, 456, 40    Cas,5.28,0.96
23.978333,17.433611, 457,HR 457,5.8,
24.199167,41.405556, 458, 50Ups And,4.09,0.54
23.995833,-15.400278, 459, 50    Cet,5.42,1.21
24.531667,57.9775, 461,HR 461,5.56,1.38
24.035,-29.9075, 462,   Tau Scl,5.69,0.33
24.274583,12.141667, 463,102Pi  Psc,5.57,0.35
24.498333,48.628333, 464, 51    And,3.57,1.28
24.8375,44.386111, 469, 52Chi And,4.98,0.89
24.614167,-36.528333, 471,HR 471,5.94,1.05
24.42875,-57.236667, 472,   Alp Eri,0.46,-0.16
24.715833,-21.275278, 473,HR 473,5.58,0.34
24.92,16.405833, 475,105    Psc,5.97,1.12
25.165833,43.297778, 476,HR 476,5.61,0.21
25.145,40.576944, 477, 53Tau And,4.94,-0.09
25.585417,68.043056, 478, 43    Cas,5.59,-0.07
25.732917,70.6225, 480, 42    Cas,5.18,-0.04
25.446667,42.613611, 483,HR 483,4.95,0.62
25.413333,30.047222, 485,HR 485,5.99,1.01
24.9475,-56.198056, 486,HR 486,5.87,0.9
24.949167,-56.194722, 487,HR 487,5.76,0.87
25.357917,5.4875, 489,106Nu  Psc,4.44,1.36
25.514583,35.245556, 490,HR 490,5.64,-0.07
25.832083,60.551111, 491, 44    Cas,5.78,-0.02
25.43625,-11.324722, 492,HR 492,5.75,0.44
25.624167,20.268611, 493,107    Psc,5.24,0.84
25.915,50.688611, 496,   Phi Per,4.07,-0.04
25.535833,-32.326944, 497,   Pi  Scl,5.25,1.05
25.5125,-36.8325, 498,HR 498,5.72,-0.01
25.68125,-3.690278, 500,HR 500,4.99,1.38
25.45,-60.789444, 505,HR 505,5.71,1.27
25.622083,-53.740556, 506,HR 506,5.52,0.53
26.017083,-15.9375, 509, 52Tau Cet,3.5,0.72
26.348333,9.157778, 510,110Omi Psc,4.26,0.96
26.936667,63.852222, 511,HR 511,5.63,0.81
24.481667,-82.975, 512,HR 512,5.87,0.61
26.497083,-5.733333, 513,HR 513,5.34,1.52
26.411667,-25.0525, 514,   Eps Scl,5.31,0.39
